GO:0001503
GO:0006777
GO:0009738
GO:0032436
GO:0019221
GO:0051289
GO:0006470
GO:0051603
GO:0000082
GO:0007613
GO:0008584
GO:0007160
GO:0001501
GO:0055072
GO:0043524
GO:0035264
GO:0034765
GO:0008643
GO:0051897
GO:0007005
GO:0007218
GO:0007219
GO:0006302
GO:0006782
GO:0006541
GO:0001822
GO:0055085
GO:0009615
GO:0045666
GO:0006260
GO:0007411
GO:0043123
GO:0042127
GO:0006284
GO:0006865
GO:0006935
GO:0019722
GO:0007605
GO:0071456
GO:0006606
GO:0051091
GO:0006289
GO:0050832
GO:0046686
GO:0050830
GO:0000462
GO:0030163
GO:0007286
GO:0006839
GO:0072659
GO:0055114
GO:0009073
GO:0030435
GO:0016192
GO:0006898
GO:0050731
GO:0016055
GO:0007204
GO:0000398
GO:0032543
GO:0009451
GO:0030198
GO:0006094
GO:0009416
GO:0007169
GO:0051028
GO:0042391
GO:0006270
GO:0006457
GO:0009414
GO:0045471
GO:0090263
GO:0090630
GO:0071260
GO:0006298
GO:0009401
GO:0050821
GO:0010629
GO:0009060
GO:0000226
GO:0042742
GO:0031175
GO:0050829
GO:0032496
GO:0051321
GO:0042981
GO:0009228
GO:0019835
GO:0044267
GO:0007346
GO:0009653
GO:0006888
GO:0043547
GO:0071356
GO:0006207
GO:0006886
GO:0006887
GO:0042254
GO:0046777
GO:0065003
GO:0009306
GO:0007189
GO:0006364
GO:0006367
GO:0006366
GO:0006368
GO:0016477
GO:0016579
GO:0007584
GO:0006954
GO:0007626
GO:0007623
GO:0006629
GO:0060271
GO:0098609
GO:0006811
GO:0050728
GO:0042060
GO:0006816
GO:0043410
GO:0060070
GO:0006635
GO:0001701
GO:0006189
GO:0008152
GO:0006955
GO:0007059
GO:0006958
GO:0006814
GO:0006813
GO:0061077
GO:0007050
GO:0006890
GO:0006897
GO:0007420
GO:0042542
GO:0071347
GO:0071805
GO:0031640
GO:0043312
GO:0007596
GO:0015074
GO:0006511
GO:0000160
GO:0051384
GO:0006633
GO:0006631
GO:0042147
GO:0030308
GO:0006869
GO:0030307
GO:0006730
GO:0007268
GO:0030509
GO:0051607
GO:0009611
GO:0009791
GO:0009793
GO:0000184
GO:0046677
GO:0009252
GO:0071222
GO:0001666
GO:0009952
GO:0000209
GO:0014070
GO:0007417
GO:0007156
GO:1990830
GO:0000724
GO:0009636
GO:0043161
GO:0006749
GO:0044205
GO:0002181
GO:0006508
GO:0000165
GO:0006744
GO:0006952
GO:0016042
GO:0008285
GO:0008033
GO:0009098
GO:0071346
GO:0007015
GO:0006874
GO:0043687
GO:0031146
GO:0009245
GO:0006974
GO:0001558
GO:0006970
GO:0007409
GO:0009409
GO:0009408
GO:0045454
GO:0006979
GO:0008203
GO:0051259
GO:0051092
GO:0007030
GO:0050776
GO:0007568
GO:0006338
GO:0042593
GO:0007565
GO:0006334
GO:0008654
GO:0042493
GO:0006099
GO:0006950
GO:0008380
GO:0010628
GO:0009089
GO:0017148
GO:0001764
GO:0006006
GO:0009086
GO:0034976
GO:0000187
GO:0018107
GO:0018105
GO:0030324
GO:0016236
GO:0030036
GO:0009435
GO:0050900
GO:0001889
GO:0009432
GO:0032869
GO:0006879
GO:0000105
GO:0001525
GO:0006096
GO:0001649
GO:0009103
GO:0009733
GO:0032355
GO:0009737
GO:0040007
GO:0006486
GO:0009734
GO:0006325
GO:0040008
GO:0008283
GO:0051260
GO:0006526
GO:0045766
GO:0043065
GO:0007166
GO:0007608
GO:0015986
GO:0006400
GO:0010501
GO:0009908
GO:0010468
GO:0006406
GO:0090090
GO:0030336
GO:0030335
GO:0006469
GO:0009229
GO:0000278
GO:0030182
GO:0009423
GO:0007601
GO:0006914
GO:0070374
GO:0016226
GO:0034220
GO:0000027
GO:0030433
GO:0007267
GO:0008616
GO:0034599
GO:0007264
GO:0000902
GO:0006310
GO:0007507
GO:0007010
GO:0007399
GO:0051726
GO:0006413
GO:0007018
GO:0007283
GO:0010976
GO:0009749
GO:0002250
GO:0016032
GO:0006417
GO:0009405
GO:0009651
GO:0001934
GO:0006396
GO:0006397
